ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.3,Adrian Peterson,RB,MIN,512,1.1,1,22,7
1.03,2.9,Doug Martin,RB,TB,418,2.1,1,41,13
1.05,4.7,Jamaal Charles,RB,KC,322,1.8,1,10,10
1.05,5.1,Arian Foster,RB,HOU,317,2.3,1,11,8
1.05,5.3,C.J. Spiller,RB,None,409,4.0,1,76,None
1.06,5.6,Marshawn Lynch,RB,SEA,433,2.2,1,16,6
1.06,5.9,LeSean McCoy,RB,PHI,406,2.0,1,12,9
1.08,7.7,Trent Richardson,RB,IND,460,2.2,2,23,7
1.08,8.2,Ray Rice,RB,BAL,448,2.2,2,15,7
1.09,9.1,Calvin Johnson,WR,DET,401,2.9,1,16,5
1.11,11.1,Alfred Morris,RB,WAS,427,1.7,6,16,8
1.12,12.1,Matt Forte,RB,CHI,409,2.4,6,19,11
2.02,14.4,Dez Bryant,WR,DAL,303,2.7,7,25,10
2.03,14.8,Steven Jackson,RB,ATL,330,2.7,7,23,10
2.03,15.5,Chris Johnson,RB,NYJ,318,2.6,8,24,10
2.04,16.4,David Wilson,RB,NYG,387,2.9,8,30,11
2.06,17.5,Stevan Ridley,RB,NE,380,2.9,9,28,5
2.06,17.8,A.J. Green,WR,CIN,407,3.0,10,26,9
2.07,18.7,Maurice Jones-Drew,RB,LV,425,3.2,10,28,6
2.07,19.1,Drew Brees,QB,NO,340,6.8,1,34,6
2.08,19.9,Reggie Bush,RB,DET,455,3.3,11,32,5
2.10,21.8,Julio Jones,WR,ATL,436,3.1,13,31,10
2.11,22.6,Jimmy Graham,TE,NO,396,6.3,6,109,6
2.12,23.7,Brandon Marshall,WR,CHI,484,3.4,14,33,11
2.12,24.4,Frank Gore,RB,SF,427,3.6,14,36,11
3.01,24.7,Aaron Rodgers,QB,GB,375,6.4,7,44,5
3.02,26.1,Demaryius Thomas,WR,DEN,460,5.2,14,115,5
3.03,27.4,DeMarco Murray,RB,DAL,433,4.5,15,44,10
3.05,28.9,Larry Fitzgerald,WR,ARI,387,3.2,20,41,8
3.05,29.4,Eddie Lacy,RB,GB,442,4.3,18,43,5
3.07,31.3,Andre Johnson,WR,HOU,314,3.6,22,45,8
3.08,32.0,Randall Cobb,WR,GB,351,4.0,21,44,5
3.08,32.4,Peyton Manning,QB,DEN,332,6.1,16,50,5
3.09,32.7,Lamar Miller,RB,MIA,380,5.3,18,75,7
3.10,33.5,Darren Sproles,RB,PHI,367,5.6,20,50,9
3.11,35.0,Roddy White,WR,ATL,392,3.7,25,46,10
4.01,36.5,Victor Cruz,WR,NYG,385,4.0,25,49,11
4.02,38.4,Vincent Jackson,WR,TB,323,3.8,28,47,13
4.04,39.8,Darren McFadden,RB,LV,330,6.3,23,55,6
4.05,40.6,Danny Amendola,WR,NE,317,4.4,29,61,5
4.06,41.8,Giovani Bernard,RB,CIN,381,5.5,27,59,9
4.06,42.1,Dwayne Bowe,WR,KC,342,4.6,30,63,10
4.07,42.5,Tom Brady,QB,NE,301,7.8,22,67,5
4.08,43.8,Marques Colston,WR,NO,312,4.1,33,60,6
4.08,44.4,Rob Gronkowski,TE,NE,369,6.9,26,110,5
4.09,45.2,Daryl Richardson,RB,LAR,401,6.2,29,64,9
4.10,46.1,Reggie Wayne,WR,IND,364,4.4,36,60,7
4.11,46.6,Wes Welker,WR,DEN,387,5.3,32,64,5
5.01,48.7,Ryan Mathews,RB,LAC,403,7.0,30,68,6
5.01,48.8,Pierre Garcon,WR,WAS,361,4.7,36,65,8
5.02,50.0,Cam Newton,QB,CAR,313,7.9,29,76,13
5.03,51.0,Jordy Nelson,WR,GB,338,5.0,38,69,5
5.05,53.1,Montee Ball,RB,DEN,305,7.9,32,73,5
5.06,53.8,Torrey Smith,WR,BAL,342,5.6,39,74,7
5.06,54.5,Matt Ryan,QB,ATL,303,7.9,33,79,10
5.07,55.2,Ahmad Bradshaw,RB,IND,357,7.5,35,85,7
5.08,55.6,Hakeem Nicks,WR,IND,349,5.9,41,88,7
5.08,56.2,Vernon Davis,TE,SF,206,7.9,35,76,11
5.09,56.8,Antonio Brown,WR,PIT,345,5.9,41,76,4
5.10,58.5,DeSean Jackson,WR,WAS,325,6.5,41,77,8
5.11,58.6,Jason Witten,TE,DAL,249,7.4,39,77,10
5.12,60.2,DeAngelo Williams,RB,CAR,324,9.1,36,89,13
6.01,60.9,Colin Kaepernick,QB,SF,315,11.4,31,100,11
6.03,62.9,Eric Decker,WR,NYJ,364,7.5,43,86,10
6.03,63.3,T.Y. Hilton,WR,IND,312,6.7,45,95,7
6.06,65.8,Shane Vereen,RB,NE,327,7.9,45,93,5
6.06,66.2,Tony Gonzalez,TE,ATL,246,8.4,44,83,10
6.07,66.7,Matthew Stafford,QB,DET,358,8.6,44,99,5
6.08,67.6,Mike Wallace,WR,MIA,330,6.8,50,94,7
6.08,68.4,Chris Ivory,RB,NYJ,307,9.3,44,101,10
6.09,68.8,Steve Smith,WR,BAL,341,6.6,51,88,7
6.11,71.4,Andrew Luck,QB,IND,374,10.9,43,100,7
6.12,71.5,James Jones,WR,LV,320,7.7,51,93,6
6.12,72.2,Rashard Mendenhall,RB,ARI,368,8.8,49,97,8
7.03,74.8,Robert Griffin III,QB,WAS,373,10.8,46,102,8
7.03,75.0,Kenbrell Thompkins,WR,NE,295,8.3,53,99,5
7.04,75.7,Jermichael Finley,TE,GB,227,7.1,57,98,5
7.05,77.1,Ben Tate,RB,CLE,320,8.3,55,98,9
7.05,77.5,Cecil Shorts,WR,JAX,290,8.0,56,109,8
7.07,78.7,Miles Austin,WR,FA,322,8.5,56,102,12
7.07,78.8,LeVeon Bell,RB,PIT,404,10.5,51,111,4
7.08,79.7,Tony Romo,QB,DAL,338,10.2,53,109,10
7.11,82.8,Tavon Austin,WR,LAR,309,9.4,58,105,9
7.11,82.8,Mark Ingram,RB,NO,238,8.9,59,102,6
7.11,83.4,Anquan Boldin,WR,SF,319,9.2,59,105,11
8.01,85.5,Russell Wilson,QB,SEA,349,10.4,58,110,6
8.02,85.6,Jordan Cameron,TE,CLE,162,10.6,64,121,9
8.02,85.7,BenJarvus Green-Ellis,RB,CIN,256,10.5,58,106,9
8.02,86.1,Josh Gordon,WR,CLE,319,8.5,64,111,9
8.05,88.9,Antonio Gates,TE,LAC,162,13.7,53,136,6
8.06,89.5,Greg Jennings,WR,MIN,285,9.8,64,110,7
